Time,Velocity_J1,Velocity_J2,Velocity_J3,Velocity_J4,Velocity_J5,Velocity_J6
29.1,0.0391690369561982,0.0391690369561982,0.0391690369561982,0.0391690369561982,0.0391690369561982,0.0391690369561982
29.15,0.0391038373160661,0.0391038373160661,0.0391038373160661,0.0391038373160661,0.0391038373160661,0.0391038373160661
29.2,0.0390379207547178,0.0390379207547178,0.0390379207547178,0.0390379207547178,0.0390379207547178,0.0390379207547178
29.25,0.0389712898744261,0.0389712898744261,0.0389712898744261,0.0389712898744261,0.0389712898744261,0.0389712898744261
29.3,0.0389039473056642,0.0389039473056642,0.0389039473056642,0.0389039473056642,0.0389039473056642,0.0389039473056642
29.35,0.0388358957070014,0.0388358957070014,0.0388358957070014,0.0388358957070014,0.0388358957070014,0.0388358957070014
29.4,0.0387671377649983,0.0387671377649983,0.0387671377649983,0.0387671377649983,0.0387671377649983,0.0387671377649983
29.45,0.0386976761941007,0.0386976761941007,0.0386976761941007,0.0386976761941007,0.0386976761941007,0.0386976761941007
29.5,0.0386275137365324,0.0386275137365324,0.0386275137365324,0.0386275137365324,0.0386275137365324,0.0386275137365324
29.55,0.0385566531621872,0.0385566531621872,0.0385566531621872,0.0385566531621872,0.0385566531621872,0.0385566531621872
29.6,0.0384850972685192,0.0384850972685192,0.0384850972685192,0.0384850972685192,0.0384850972685192,0.0384850972685192
29.65,0.0384128488804326,0.0384128488804326,0.0384128488804326,0.0384128488804326,0.0384128488804326,0.0384128488804326
29.7,0.03833991085017,0.03833991085017,0.03833991085017,0.03833991085017,0.03833991085017,0.03833991085017
29.75,0.0382662860571999,0.0382662860571999,0.0382662860571999,0.0382662860571999,0.0382662860571999,0.0382662860571999
29.8,0.0381919774081032,0.0381919774081032,0.0381919774081032,0.0381919774081032,0.0381919774081032,0.0381919774081032
29.85,0.038116987836458,0.038116987836458,0.038116987836458,0.038116987836458,0.038116987836458,0.038116987836458
29.9,0.0380413203027242,0.0380413203027242,0.0380413203027242,0.0380413203027242,0.0380413203027242,0.0380413203027242
29.95,0.0379649777941265,0.0379649777941265,0.0379649777941265,0.0379649777941265,0.0379649777941265,0.0379649777941265
30,0.0378879633245365,0.0378879633245365,0.0378879633245365,0.0378879633245365,0.0378879633245365,0.0378879633245365
