Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0,0,0,0.000647246080817497,-0.619092412665031,-0.619092412665031,-0.619092412665031,-0.84286124087335
0,0,0,0.000683727016853049,-0.619041172136018,-0.619041172136018,-0.619041172136018,-0.842809864529742
0,0,0,0.000721545228703453,-0.618988043615955,-0.618988043615955,-0.618988043615955,-0.842756587357057
0,0,0,0.000760724027843763,-0.618932993301987,-0.618932993301987,-0.618932993301987,-0.842701374604485
0,0,0,0.000801286671983315,-0.618875987403903,-0.618875987403903,-0.618875987403903,-0.842644191482947
0,0,0,0.000843256364142812,-0.618816992143306,-0.618816992143306,-0.618816992143306,-0.842585003162547
0,0,0,0.000886656251733191,-0.618755973752762,-0.618755973752762,-0.618755973752762,-0.842523774769974
0,0,0,0.000931509425636506,-0.618692898474919,-0.618692898474919,-0.618692898474919,-0.842460471385854
0,0,0,0.000977838919288485,-0.618627732561595,-0.618627732561595,-0.618627732561595,-0.842395058042053
0,0,0,0.0010256677077631,-0.618560442272836,-0.618560442272836,-0.618560442272836,-0.842327499718922
0,0,0,0.00107501870685899,-0.618490993875952,-0.618490993875952,-0.618490993875952,-0.842257761342503
0,0,0,0.00112591477218783,-0.618419353644518,-0.618419353644518,-0.618419353644518,-0.842185807781679
0,0,0,0.00117837869826462,-0.618345487857352,-0.618345487857352,-0.618345487857352,-0.842111603845282
0,0,0,0.00123243321759988,-0.618269362797467,-0.618269362797467,-0.618269362797467,-0.842035114279153
0,0,0,0.001288100999794,-0.618190944750996,-0.618190944750996,-0.618190944750996,-0.841956303763154
0,0,0,0.00134540465063331,-0.618110200006091,-0.618110200006091,-0.618110200006091,-0.841875136908146
0,0,0,0.00140436671118838,-0.618027094851798,-0.618027094851798,-0.618027094851798,-0.841791578252908
0,0,0,0.0014650096569142,-0.617941595576908,-0.617941595576908,-0.617941595576908,-0.841705592261028
0,0,0,0.00152735589675247,-0.617853668468784,-0.617853668468784,-0.617853668468784,-0.841617143317746
0,0,0,0.00159142777223588,-0.617763279812163,-0.617763279812163,-0.617763279812163,-0.841526195726759
0,0,0,0.00165724755659448,-0.617670395887941,-0.617670395887941,-0.617670395887941,-0.841432713706987
0,0,0,0.00172483745386409,-0.61757498297193,-0.61757498297193,-0.61757498297193,-0.841336661389299
0,0,0,0.00179421959799684,-0.617477007333593,-0.617477007333593,-0.617477007333593,-0.841238002813203
0,0,0,0.00186541605197372,-0.617376435234768,-0.617376435234768,-0.617376435234768,-0.841136701923505
0,0,0,0.00193844880691934,-0.61727323292836,-0.61727323292836,-0.61727323292836,-0.841032722566928
0,0,0,0.0020133397812187,-0.61716736665702,-0.61716736665702,-0.61716736665702,-0.840926028488696
0,0,0,0.00209011081963612,-0.617058802651804,-0.617058802651804,-0.617058802651804,-0.840816583329093
0,0,0,0.00216878369243639,-0.616947507130814,-0.616947507130814,-0.616947507130814,-0.840704350619983
