Time,Acceleration_J1,Acceleration_J2,Acceleration_J3,Acceleration_J4,Acceleration_J5,Acceleration_J6
2.6,0.000844689723536018,0.000844689723536018,0.000844689723536018,0.000844689723536018,0.000844689723536018,0.000844689723536018
2.65,0.000860334809477376,0.000860334809477376,0.000860334809477376,0.000860334809477376,0.000860334809477376,0.000860334809477376
2.7,0.000875945930873586,0.000875945930873586,0.000875945930873586,0.000875945930873586,0.000875945930873586,0.000875945930873586
2.75,0.000891522471424304,0.000891522471424304,0.000891522471424304,0.000891522471424304,0.000891522471424304,0.000891522471424304
2.8,0.000907063816194381,0.000907063816194381,0.000907063816194381,0.000907063816194381,0.000907063816194381,0.000907063816194381
2.85,0.000922569351638137,0.000922569351638137,0.000922569351638137,0.000922569351638137,0.000922569351638137,0.000922569351638137
2.9,0.000938038465623583,0.000938038465623583,0.000938038465623583,0.000938038465623583,0.000938038465623583,0.000938038465623583
2.95,0.000953470547456584,0.000953470547456584,0.000953470547456584,0.000953470547456584,0.000953470547456584,0.000953470547456584
3,0.000968864987904975,0.000968864987904975,0.000968864987904975,0.000968864987904975,0.000968864987904975,0.000968864987904975
3.05,0.000984221179222606,0.000984221179222606,0.000984221179222606,0.000984221179222606,0.000984221179222606,0.000984221179222606
3.1,0.000999538515173337,0.000999538515173337,0.000999538515173337,0.000999538515173337,0.000999538515173337,0.000999538515173337
3.15,0.00101481639105497,0.00101481639105497,0.00101481639105497,0.00101481639105497,0.00101481639105497,0.00101481639105497
3.2,0.00103005420372314,0.00103005420372314,0.00103005420372314,0.00103005420372314,0.00103005420372314,0.00103005420372314
3.25,0.00104525135161507,0.00104525135161507,0.00104525135161507,0.00104525135161507,0.00104525135161507,0.00104525135161507
3.3,0.0010604072347734,0.0010604072347734,0.0010604072347734,0.0010604072347734,0.0010604072347734,0.0010604072347734
3.35,0.00107552125486981,0.00107552125486981,0.00107552125486981,0.00107552125486981,0.00107552125486981,0.00107552125486981
3.4,0.00109059281522866,0.00109059281522866,0.00109059281522866,0.00109059281522866,0.00109059281522866,0.00109059281522866
3.45,0.00110562132085057,0.00110562132085057,0.00110562132085057,0.00110562132085057,0.00110562132085057,0.00110562132085057
3.5,0.00112060617843585,0.00112060617843585,0.00112060617843585,0.00112060617843585,0.00112060617843585,0.00112060617843585
3.55,0.00113554679640799,0.00113554679640799,0.00113554679640799,0.00113554679640799,0.00113554679640799,0.00113554679640799
