Time,Force_J1,Force_J2,Force_J3,Force_J4,Force_J5,Force_J6
11.25,189.126434474149,0.669922717517361,1.22163087747733,0.0185019000645532,0.000309827704772564,4.12580781433923E-09
11.3,189.137495164045,0.668515661390588,1.2345896517673,0.0187258755712104,0.000323451720569635,4.12566291951611E-09
11.35,189.148337276906,0.666858342764795,1.24758410427059,0.018951530641827,0.000337515161721377,4.12526604153334E-09
11.4,189.158954239548,0.664945417322312,1.26061288492969,0.0191788679026736,0.000352029548164544,4.12461640789851E-09
11.45,189.169339416548,0.662771493563976,1.27367462314276,0.0194078899316049,0.000367006628250843,4.12371327880677E-09
11.5,189.179486110519,0.660331133039274,1.2867679277306,0.0196385992579219,0.000382458381285603,4.12255594830275E-09
11.55,189.189387562405,0.657618850586656,1.29989138690634,0.0198709983622232,0.000398397020045412,4.12114374545829E-09
11.6,189.19903695179,0.654629114584081,1.313043568248,0.0201050896762444,0.000414834993273239,4.11947603556565E-09
11.65,189.208427397212,0.651356347209883,1.32622301867399,0.0203408755826854,0.000431784988149492,4.11755222134549E-09
11.7,189.217551956498,0.647794924714007,1.33942826442149,0.0205783584150258,0.000449259932737276,4.11537174416943E-09
11.75,189.226403627105,0.643939177699688,1.35265781102791,0.0208175404573265,0.000467272998400531,4.11293408529646E-09
11.8,189.234975346481,0.639783391415627,1.36591014331535,0.0210584239440187,0.000485837602193265,4.11023876712283E-09
11.85,189.243259992428,0.635321806058751,1.37918372537822,0.0213010110596787,0.000504967409218347,4.10728535444471E-09
11.9,189.251250383488,0.630548617087592,1.39247700057398,0.0215453039387884,0.000524676334954061,4.10407345573309E-09
11.95,189.25893927934,0.625457975546347,1.40578839151711,0.0217913046654808,0.000544978547547139,4.10060272442033E-09
12,189.266319381205,0.620043988399711,1.4191163000764,0.0220390152732714,0.00056588847007001,4.09687286019762E-09
12.05,189.273383332267,0.61430071887849,1.43245910737551,0.022288437744772,0.000587420782741057,4.09288361032272E-09
12.1,189.280123718109,0.608222186836092,1.44581517379691,0.0225395740113899,0.000609590425105987,4.08863477093727E-09
12.15,189.286533067162,0.60180236911592,1.4591828389893,0.0227924259530101,0.000632412598178492,4.08412618839286E-09
12.2,189.292603851161,0.59503519992974,1.47256042187848,0.0230469953976595,0.000655902766538513,4.07935776058518E-09
12.25,189.298328485624,0.587914571247068,1.48594622068177,0.0233032841211544,0.000680076660386472,4.07432943829533E-09
12.3,189.303699330334,0.580434333195617,1.499338512926,0.02356129384673,0.000704950277551304,4.06904122653754E-09
12.35,189.308708689846,0.572588294472862,1.5127355554692,0.0238210262446499,0.00073053988545099,4.06349318591238E-09
12.4,189.313348813996,0.564370222768763,1.52613558452594,0.0240824829317979,0.000756862023003284,4.05768543396455E-09
12.45,189.31761189843,0.555773845199691,1.53953681569645,0.0243456654712497,0.000783933502485157,4.05161814654435E-09
12.5,189.321490085145,0.546792848753602,1.55293744399949,0.0246105753718244,0.000811771411338884,4.04529155917189E-09
12.55,189.324975463046,0.53742088074649,1.56633564390919,0.0248772140876152,0.000840393113922991,4.03870596840287E-09
12.6,189.328060068508,0.527651549290166,1.57972956939566,0.0251455830174993,0.000869816253206281,4.03186173319516E-09
12.65,189.330735885966,0.517478423771393,1.59311735396969,0.0254156835046259,0.000900058752402834,4.02475927627491E-09
12.7,189.332994848503,0.506895035342415,1.60649711073132,0.0256875168358827,0.000931138816546261,4.01739908550119E-09
12.75,189.334828838462,0.495894877422909,1.61986693242266,0.0259610842413385,0.000963074934001248,4.00978171522799E-09
12.8,189.336229688069,0.484471406213387,1.6332248914846,0.0262363868936637,0.00099588587791046,4.00190778766251E-09
12.85,189.337189180071,0.472618041220092,1.64656904011789,0.0265134259075273,0.00102959070757484,3.99377799421839E-09
12.9,189.337699048382,0.460328165791374,1.65989741034829,0.0267922023389683,0.00106420876976551,3.98539309686288E-09
12.95,189.33775097875,0.447595127665625,1.67320801409609,0.0270727171847445,0.00109975969996517,3.97675392945647E-09
13,189.337336609433,0.434412239530744,1.68649884324981,0.0273549713816541,0.00113626342353704,3.96786139908393E-09
13.05,189.336447531893,0.420772779595176,1.69976786974441,0.0276389658058331,0.00117374015681964,3.95871648737522E-09
13.1,189.335075291499,0.406669992170533,1.71301304564381,0.0279247012720263,0.00121221040814513,3.94932025181516E-09
