Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0,0,3.40193249229004E-06,1.47417074622391E-05,1.70103597056209E-05,1.70103597056209E-05,1.70103597056209E-05,1.7010611357028E-05
0,0,4.18398867422212E-06,1.81306175816677E-05,2.09208676621528E-05,2.09208676621528E-05,2.09208676621528E-05,2.09212012605723E-05
0,0,5.07750190812791E-06,2.20025082583492E-05,2.53887505331373E-05,2.53887505331373E-05,2.53887505331373E-05,2.53891984374771E-05
0,0,6.08987840148673E-06,2.63894730573277E-05,3.04510656733713E-05,3.04510656733713E-05,3.04510656733713E-05,3.04516697414521E-05
0,0,7.22851966922584E-06,3.13235852089409E-05,3.61448523811229E-05,3.61448523811229E-05,3.61448523811229E-05,3.6145665921096E-05
0,0,8.50082224151616E-06,3.68368963424916E-05,4.25071311292589E-05,4.25071311292589E-05,4.25071311292589E-05,4.25082211009048E-05
0,0,9.91417737175007E-06,4.29614352206783E-05,4.95749028382662E-05,4.95749028382662E-05,4.95749028382662E-05,4.95763523189859E-05
0,0,1.14759707447355E-05,4.97292064749298E-05,5.73851481911656E-05,5.73851481911656E-05,5.73851481911656E-05,5.73870591214159E-05
0,0,1.31935821850933E-05,5.71721893415788E-05,6.59748269900709E-05,6.59748269900709E-05,6.59748269900709E-05,6.59773232129331E-05
0,0,1.50743853658989E-05,6.53223363990493E-05,7.53808775544072E-05,7.53808775544072E-05,7.53808775544072E-05,7.53841081639153E-05
0,0,1.71257475175374E-05,7.42115723059109E-05,8.56402161604266E-05,8.56402161604266E-05,8.56402161604266E-05,8.56443591732095E-05
0,0,1.9355029136832E-05,8.38717925400596E-05,9.67897365221132E-05,9.67897365221132E-05,9.67897365221132E-05,9.67950028868372E-05
0,0,2.17695836964122E-05,9.43348621388634E-05,0.000108866309313083,0.000108866309313083,0.000108866309313083,0.000108872947272102
0,0,2.43767573543589E-05,0.000105632614440427,0.000121906781729429,0.000121906781729429,0.000121906781729429,0.000121915081546973
0,0,2.71838886641352E-05,0.000117796849826005,0.000135947977093314,0.000135947977093314,0.000135947977093314,0.000135958276164471
0,0,3.01983082847885E-05,0.00013085933446349,0.000151026694496983,0.000151026694496983,0.000151026694496983,0.000151039382851632
0,0,3.34273386914774E-05,0.000144851799052187,0.000167179708487197,0.000167179708487197,0.000167179708487197,0.000167195234702972
0,0,3.68782938862862E-05,0.000159805937568715,0.000184443768789633,0.000184443768789633,0.000184443768789633,0.000184462646327902
0,0,4.0558479109376E-05,0.000175753406014222,0.000202855600073193,0.000202855600073193,0.000202855600073193,0.000202878414051951
0,0,4.44751905504605E-05,0.000192725821162853,0.000222451901753889,0.000222451901753889,0.000222451901753889,0.000222479316171346
